row_index,heldout_position,vlst,role
160,141,0,vlst=0
4937,142,0,vlst=0
2033,143,0,vlst=0
3612,144,0,vlst=0
920,145,0,vlst=0
3812,146,0,vlst=0
1028,147,0,vlst=0
1599,148,0,vlst=0
3242,149,0,vlst=0
3953,150,0,vlst=0
3045,151,0,vlst=0
3991,152,0,vlst=0
2760,153,0,vlst=0
388,154,0,vlst=0
2993,155,0,vlst=0
250,156,0,vlst=0
3345,157,0,vlst=0
3070,158,0,vlst=0
4728,159,0,vlst=0
4264,160,0,vlst=0
4439,161,0,vlst=0
5019,162,0,vlst=0
4630,163,0,vlst=0
189,164,0,vlst=0
563,165,0,vlst=0
4634,166,0,vlst=0
3177,167,0,vlst=0
3294,168,0,vlst=0
696,169,0,vlst=0
5162,170,1,vlst=1
3216,171,0,vlst=0
1633,172,0,vlst=0
453,173,0,vlst=0
235,174,0,vlst=0
614,175,0,vlst=0
4178,176,0,vlst=0
1527,177,0,vlst=0
3487,178,0,vlst=0
1889,179,0,vlst=0
3618,180,0,vlst=0
2482,181,0,vlst=0
3646,182,0,vlst=0
4485,183,0,vlst=0
3446,184,0,vlst=0
3028,185,0,vlst=0
2674,186,0,vlst=0
3430,187,0,vlst=0
4413,188,0,vlst=0
129,189,0,vlst=0
826,190,0,vlst=0
2362,191,0,vlst=0
127,192,0,vlst=0
2055,193,0,vlst=0
2541,194,0,vlst=0
4803,195,0,vlst=0
3354,196,0,vlst=0
2745,197,0,vlst=0
3627,198,0,vlst=0
400,199,0,vlst=0
1555,200,0,vlst=0
5051,201,0,vlst=0
4890,202,0,vlst=0
922,203,0,vlst=0
419,204,0,vlst=0
628,205,0,vlst=0
1199,206,0,vlst=0
3302,207,0,vlst=0
3005,208,0,vlst=0
3993,209,0,vlst=0
54,210,0,vlst=0
3577,211,0,vlst=0
4894,212,0,vlst=0
738,213,0,vlst=0
1848,214,0,vlst=0
1853,215,0,vlst=0
3629,216,0,vlst=0
4793,217,0,vlst=0
1933,218,0,vlst=0
674,219,0,vlst=0
3507,220,0,vlst=0
4723,221,0,vlst=0
673,222,0,vlst=0
3762,223,0,vlst=0
2616,224,0,vlst=0
4161,225,0,vlst=0
2709,226,0,vlst=0
3652,227,0,vlst=0
4469,228,0,vlst=0
244,229,0,vlst=0
1645,230,0,vlst=0
1355,231,0,vlst=0
4297,232,0,vlst=0
1959,233,0,vlst=0
2139,234,0,vlst=0
3583,235,0,vlst=0
4454,236,0,vlst=0
747,237,0,vlst=0
562,238,0,vlst=0
732,239,0,vlst=0
2914,240,0,vlst=0
1331,241,0,vlst=0
3687,242,0,vlst=0
1166,243,0,vlst=0
4875,244,0,vlst=0
4968,245,0,vlst=0
3057,246,0,vlst=0
4721,247,0,vlst=0
3241,248,0,vlst=0
2712,249,0,vlst=0
1379,250,0,vlst=0
616,251,0,vlst=0
608,252,0,vlst=0
5156,253,1,vlst=1
4995,254,0,vlst=0
2489,255,0,vlst=0
4883,256,0,vlst=0
3191,257,0,vlst=0
919,258,0,vlst=0
3735,259,0,vlst=0
2723,260,0,vlst=0
15,261,0,vlst=0
5042,262,0,vlst=0
117,263,0,vlst=0
3695,264,0,vlst=0
2854,265,0,vlst=0
2491,266,0,vlst=0
2502,267,0,vlst=0
379,268,0,vlst=0
3387,269,0,vlst=0
1147,270,0,vlst=0
4822,271,0,vlst=0
1734,272,0,vlst=0
3120,273,0,vlst=0
94,274,0,vlst=0
3748,275,0,vlst=0
823,276,0,vlst=0
4484,277,0,vlst=0
5,278,0,vlst=0
1276,279,0,vlst=0
3939,280,0,vlst=0
2597,281,0,vlst=0
784,282,0,vlst=0
357,283,0,vlst=0
4579,284,0,vlst=0
5181,285,1,vlst=1
4018,286,0,vlst=0
5011,287,0,vlst=0
4577,288,0,vlst=0
895,289,0,vlst=0
2729,290,0,vlst=0
1063,291,0,vlst=0
571,292,0,vlst=0
2193,293,0,vlst=0
40,294,0,vlst=0
98,295,0,vlst=0
5048,296,0,vlst=0
1401,297,0,vlst=0
3251,298,0,vlst=0
1673,299,0,vlst=0
2777,300,0,vlst=0
2831,301,0,vlst=0
2386,302,0,vlst=0
4090,303,0,vlst=0
159,304,0,vlst=0
1167,305,0,vlst=0
4824,306,0,vlst=0
3533,307,0,vlst=0
3190,308,0,vlst=0
2017,309,0,vlst=0
2703,310,0,vlst=0
524,311,0,vlst=0
3861,312,0,vlst=0
3965,313,0,vlst=0
1346,314,0,vlst=0
2332,315,0,vlst=0
2670,316,0,vlst=0
133,317,0,vlst=0
3160,318,0,vlst=0
1021,319,0,vlst=0
3581,320,0,vlst=0
3713,321,0,vlst=0
2485,322,0,vlst=0
5107,323,1,vlst=1
169,324,0,vlst=0
4613,325,0,vlst=0
2785,326,0,vlst=0
872,327,0,vlst=0
4171,328,0,vlst=0
4839,329,0,vlst=0
1722,330,0,vlst=0
1852,331,0,vlst=0
39,332,0,vlst=0
3766,333,0,vlst=0
2959,334,0,vlst=0
2160,335,0,vlst=0
3009,336,0,vlst=0
3232,337,0,vlst=0
3205,338,0,vlst=0
574,339,0,vlst=0
1520,340,0,vlst=0
3432,341,0,vlst=0
854,342,0,vlst=0
2904,343,0,vlst=0
1262,344,0,vlst=0
957,345,0,vlst=0
1696,346,0,vlst=0
1247,347,0,vlst=0
3108,348,0,vlst=0
3510,349,0,vlst=0
5132,350,1,vlst=1
635,351,0,vlst=0
1635,352,0,vlst=0
2625,353,0,vlst=0
2278,354,0,vlst=0
723,355,0,vlst=0
4536,356,0,vlst=0
4344,357,0,vlst=0
3896,358,0,vlst=0
4416,359,0,vlst=0
4354,360,0,vlst=0
2969,361,0,vlst=0
1984,362,0,vlst=0
1015,363,0,vlst=0
398,364,0,vlst=0
60,365,0,vlst=0
671,366,0,vlst=0
2539,367,0,vlst=0
1772,368,0,vlst=0
667,369,0,vlst=0
1591,370,0,vlst=0
2203,371,0,vlst=0
1640,372,0,vlst=0
3051,373,0,vlst=0
2947,374,0,vlst=0
1141,375,0,vlst=0
758,376,0,vlst=0
2982,377,0,vlst=0
215,378,0,vlst=0
4097,379,0,vlst=0
3564,380,0,vlst=0
4658,381,0,vlst=0
4488,382,0,vlst=0
4735,383,0,vlst=0
4649,384,0,vlst=0
1686,385,0,vlst=0
3847,386,0,vlst=0
260,387,0,vlst=0
3876,388,0,vlst=0
2797,389,0,vlst=0
946,390,0,vlst=0
3444,391,0,vlst=0
2076,392,0,vlst=0
4645,393,0,vlst=0
904,394,0,vlst=0
2679,395,0,vlst=0
3359,396,0,vlst=0
4027,397,0,vlst=0
2075,398,0,vlst=0
4158,399,0,vlst=0
3502,400,0,vlst=0
2306,401,0,vlst=0
701,402,0,vlst=0
1996,403,0,vlst=0
1243,404,0,vlst=0
1802,405,0,vlst=0
3397,406,0,vlst=0
3239,407,0,vlst=0
3219,408,0,vlst=0
3342,409,0,vlst=0
206,410,0,vlst=0
992,411,0,vlst=0
2888,412,0,vlst=0
4603,413,0,vlst=0
5063,414,0,vlst=0
3943,415,0,vlst=0
3920,416,0,vlst=0
2433,417,0,vlst=0
5115,418,1,vlst=1
659,419,0,vlst=0
9,420,0,vlst=0
359,421,0,vlst=0
3329,422,0,vlst=0
4988,423,0,vlst=0
3486,424,0,vlst=0
4905,425,0,vlst=0
2051,426,0,vlst=0
2711,427,0,vlst=0
3087,428,0,vlst=0
901,429,0,vlst=0
3314,430,0,vlst=0
4474,431,0,vlst=0
4829,432,0,vlst=0
1054,433,0,vlst=0
2070,434,0,vlst=0
3284,435,0,vlst=0
2424,436,0,vlst=0
2397,437,0,vlst=0
5154,438,1,vlst=1
513,439,0,vlst=0
3147,440,0,vlst=0
3756,441,0,vlst=0
4707,442,0,vlst=0
1040,443,0,vlst=0
2864,444,0,vlst=0
3731,445,0,vlst=0
2061,446,0,vlst=0
3156,447,0,vlst=0
2730,448,0,vlst=0
2660,449,0,vlst=0
2613,450,0,vlst=0
2200,451,0,vlst=0
3572,452,0,vlst=0
2065,453,0,vlst=0
2383,454,0,vlst=0
1625,455,0,vlst=0
825,456,0,vlst=0
1636,457,0,vlst=0
447,458,0,vlst=0
3300,459,0,vlst=0
4897,460,0,vlst=0
1794,461,0,vlst=0
4659,462,0,vlst=0
3059,463,0,vlst=0
3663,464,0,vlst=0
4209,465,0,vlst=0
3297,466,0,vlst=0
2744,467,0,vlst=0
405,468,0,vlst=0
938,469,0,vlst=0
3546,470,0,vlst=0
476,471,0,vlst=0
1857,472,0,vlst=0
1523,473,0,vlst=0
1887,474,0,vlst=0
470,475,0,vlst=0
768,476,0,vlst=0
2863,477,0,vlst=0
3223,478,0,vlst=0
1066,479,0,vlst=0
1571,480,0,vlst=0
4688,481,0,vlst=0
4548,482,0,vlst=0
467,483,0,vlst=0
1148,484,0,vlst=0
1369,485,0,vlst=0
559,486,0,vlst=0
1311,487,0,vlst=0
3293,488,0,vlst=0
241,489,0,vlst=0
760,490,0,vlst=0
431,491,0,vlst=0
253,492,0,vlst=0
277,493,0,vlst=0
2449,494,0,vlst=0
2050,495,0,vlst=0
4363,496,0,vlst=0
4185,497,0,vlst=0
1542,498,0,vlst=0
1524,499,0,vlst=0
699,500,0,vlst=0
1719,501,0,vlst=0
3420,502,0,vlst=0
4360,503,0,vlst=0
4229,504,0,vlst=0
4623,505,0,vlst=0
3514,506,0,vlst=0
3086,507,0,vlst=0
4141,508,0,vlst=0
4909,509,0,vlst=0
1901,510,0,vlst=0
4871,511,0,vlst=0
292,512,0,vlst=0
1827,513,0,vlst=0
2987,514,0,vlst=0
425,515,0,vlst=0
3212,516,0,vlst=0
3952,517,0,vlst=0
3894,518,0,vlst=0
4654,519,0,vlst=0
4324,520,0,vlst=0
1570,521,0,vlst=0
1484,522,0,vlst=0
4014,523,0,vlst=0
3701,524,0,vlst=0
3608,525,0,vlst=0
197,526,0,vlst=0
2382,527,0,vlst=0
4566,528,0,vlst=0
1082,529,0,vlst=0
2385,530,0,vlst=0
3746,531,0,vlst=0
4415,532,0,vlst=0
5000,533,0,vlst=0
4535,534,0,vlst=0
4042,535,0,vlst=0
2769,536,0,vlst=0
4866,537,0,vlst=0
4815,538,0,vlst=0
2150,539,0,vlst=0
1854,540,0,vlst=0
11,541,0,vlst=0
4048,542,0,vlst=0
4143,543,0,vlst=0
4206,544,0,vlst=0
1890,545,0,vlst=0
4251,546,0,vlst=0
806,547,0,vlst=0
2435,548,0,vlst=0
2950,549,0,vlst=0
164,550,0,vlst=0
1981,551,0,vlst=0
2953,552,0,vlst=0
1619,553,0,vlst=0
4007,554,0,vlst=0
4117,555,0,vlst=0
2058,556,0,vlst=0
4891,557,0,vlst=0
2158,558,0,vlst=0
4107,559,0,vlst=0
2719,560,0,vlst=0
3033,561,0,vlst=0
2762,562,0,vlst=0
4927,563,0,vlst=0
4517,564,0,vlst=0
2911,565,0,vlst=0
3977,566,0,vlst=0
53,567,0,vlst=0
766,568,0,vlst=0
2667,569,0,vlst=0
4226,570,0,vlst=0
2557,571,0,vlst=0
225,572,0,vlst=0
242,573,0,vlst=0
3327,574,0,vlst=0
2734,575,0,vlst=0
1605,576,0,vlst=0
1761,577,0,vlst=0
4268,578,0,vlst=0
4967,579,0,vlst=0
1217,580,0,vlst=0
2891,581,0,vlst=0
822,582,0,vlst=0
2038,583,0,vlst=0
2243,584,0,vlst=0
1297,585,0,vlst=0
488,586,0,vlst=0
4870,587,0,vlst=0
4718,588,0,vlst=0
4817,589,0,vlst=0
1899,590,0,vlst=0
2156,591,0,vlst=0
3787,592,0,vlst=0
148,593,0,vlst=0
3506,594,0,vlst=0
232,595,0,vlst=0
539,596,0,vlst=0
5004,597,0,vlst=0
201,598,0,vlst=0
4115,599,0,vlst=0
36,600,0,vlst=0
936,601,0,vlst=0
1304,602,0,vlst=0
4017,603,0,vlst=0
3228,604,0,vlst=0
4123,605,0,vlst=0
38,606,0,vlst=0
2326,607,0,vlst=0
2779,608,0,vlst=0
1363,609,0,vlst=0
2271,610,0,vlst=0
1466,611,0,vlst=0
3104,612,0,vlst=0
4410,613,0,vlst=0
3465,614,0,vlst=0
595,615,0,vlst=0
4191,616,0,vlst=0
3124,617,0,vlst=0
125,618,0,vlst=0
1121,619,0,vlst=0
5068,620,0,vlst=0
4043,621,0,vlst=0
3760,622,0,vlst=0
2152,623,0,vlst=0
2868,624,0,vlst=0
1986,625,0,vlst=0
302,626,0,vlst=0
1418,627,0,vlst=0
1062,628,0,vlst=0
4493,629,0,vlst=0
924,630,0,vlst=0
2590,631,0,vlst=0
2128,632,0,vlst=0
3777,633,0,vlst=0
1274,634,0,vlst=0
3823,635,0,vlst=0
709,636,0,vlst=0
2400,637,0,vlst=0
4444,638,0,vlst=0
327,639,0,vlst=0
3222,640,0,vlst=0
2641,641,0,vlst=0
4045,642,0,vlst=0
2761,643,0,vlst=0
846,644,0,vlst=0
3587,645,0,vlst=0
1982,646,0,vlst=0
1193,647,0,vlst=0
4217,648,0,vlst=0
713,649,0,vlst=0
338,650,0,vlst=0
4898,651,0,vlst=0
4802,652,0,vlst=0
3521,653,0,vlst=0
4573,654,0,vlst=0
1184,655,0,vlst=0
4134,656,0,vlst=0
3356,657,0,vlst=0
4601,658,0,vlst=0
1478,659,0,vlst=0
3709,660,0,vlst=0
5062,661,0,vlst=0
4240,662,0,vlst=0
3547,663,0,vlst=0
2571,664,0,vlst=0
1007,665,0,vlst=0
951,666,0,vlst=0
3970,667,0,vlst=0
2551,668,0,vlst=0
3736,669,0,vlst=0
4057,670,0,vlst=0
698,671,0,vlst=0
3073,672,0,vlst=0
2514,673,0,vlst=0
3390,674,0,vlst=0
2039,675,0,vlst=0
1445,676,0,vlst=0
645,677,0,vlst=0
2791,678,0,vlst=0
2839,679,0,vlst=0
4317,680,0,vlst=0
2336,681,0,vlst=0
3854,682,0,vlst=0
1165,683,0,vlst=0
37,684,0,vlst=0
2479,685,0,vlst=0
4737,686,0,vlst=0
3562,687,0,vlst=0
4598,688,0,vlst=0
1976,689,0,vlst=0
3020,690,0,vlst=0
4379,691,0,vlst=0
2120,692,0,vlst=0
3461,693,0,vlst=0
989,694,0,vlst=0
2198,695,0,vlst=0
3023,696,0,vlst=0
592,697,0,vlst=0
3696,698,0,vlst=0
3956,699,0,vlst=0
1182,700,0,vlst=0
2923,701,0,vlst=0
4946,702,0,vlst=0
4159,703,0,vlst=0
1085,704,0,vlst=0
4604,705,0,vlst=0
1574,706,0,vlst=0
339,707,0,vlst=0
1810,708,0,vlst=0
1329,709,0,vlst=0
884,710,0,vlst=0
4756,711,0,vlst=0
2324,712,0,vlst=0
3934,713,0,vlst=0
2190,714,0,vlst=0
3004,715,0,vlst=0
1994,716,0,vlst=0
4422,717,0,vlst=0
3923,718,0,vlst=0
3925,719,0,vlst=0
3140,720,0,vlst=0
2976,721,0,vlst=0
1573,722,0,vlst=0
3056,723,0,vlst=0
3175,724,0,vlst=0
3067,725,0,vlst=0
971,726,0,vlst=0
3146,727,0,vlst=0
4678,728,0,vlst=0
750,729,0,vlst=0
5102,730,1,vlst=1
2391,731,0,vlst=0
4433,732,0,vlst=0
1449,733,0,vlst=0
2141,734,0,vlst=0
1528,735,0,vlst=0
2300,736,0,vlst=0
1931,737,0,vlst=0
1458,738,0,vlst=0
1137,739,0,vlst=0
4991,740,0,vlst=0
2814,741,0,vlst=0
3853,742,0,vlst=0
1290,743,0,vlst=0
4646,744,0,vlst=0
3672,745,0,vlst=0
1585,746,0,vlst=0
186,747,0,vlst=0
3272,748,0,vlst=0
2824,749,0,vlst=0
3389,750,0,vlst=0
2695,751,0,vlst=0
5021,752,0,vlst=0
2593,753,0,vlst=0
3170,754,0,vlst=0
666,755,0,vlst=0
3325,756,0,vlst=0
4024,757,0,vlst=0
4403,758,0,vlst=0
1776,759,0,vlst=0
1687,760,0,vlst=0
2546,761,0,vlst=0
1205,762,0,vlst=0
3281,763,0,vlst=0
4478,764,0,vlst=0
1386,765,0,vlst=0
2205,766,0,vlst=0
692,767,0,vlst=0
4887,768,0,vlst=0
1792,769,0,vlst=0
4835,770,0,vlst=0
2560,771,0,vlst=0
2738,772,0,vlst=0
4911,773,0,vlst=0
1841,774,0,vlst=0
1081,775,0,vlst=0
1267,776,0,vlst=0
4122,777,0,vlst=0
4538,778,0,vlst=0
4138,779,0,vlst=0
4021,780,0,vlst=0
3236,781,0,vlst=0
4958,782,0,vlst=0
4442,783,0,vlst=0
3526,784,0,vlst=0
993,785,0,vlst=0
97,786,0,vlst=0
3180,787,0,vlst=0
770,788,0,vlst=0
2235,789,0,vlst=0
2782,790,0,vlst=0
2188,791,0,vlst=0
3178,792,0,vlst=0
4472,793,0,vlst=0
2682,794,0,vlst=0
2421,795,0,vlst=0
4701,796,0,vlst=0
3452,797,0,vlst=0
249,798,0,vlst=0
2681,799,0,vlst=0
1560,800,0,vlst=0
2599,801,0,vlst=0
4754,802,0,vlst=0
4931,803,0,vlst=0
5041,804,0,vlst=0
2327,805,0,vlst=0
2558,806,0,vlst=0
4569,807,0,vlst=0
3117,808,0,vlst=0
3367,809,0,vlst=0
1975,810,0,vlst=0
285,811,0,vlst=0
3490,812,0,vlst=0
2565,813,0,vlst=0
3797,814,0,vlst=0
301,815,0,vlst=0
600,816,0,vlst=0
4375,817,0,vlst=0
2262,818,0,vlst=0
1341,819,0,vlst=0
3874,820,0,vlst=0
3229,821,0,vlst=0
3530,822,0,vlst=0
2419,823,0,vlst=0
3517,824,0,vlst=0
4186,825,0,vlst=0
2375,826,0,vlst=0
4301,827,0,vlst=0
3863,828,0,vlst=0
2136,829,0,vlst=0
2427,830,0,vlst=0
391,831,0,vlst=0
2869,832,0,vlst=0
3369,833,0,vlst=0
4585,834,0,vlst=0
182,835,0,vlst=0
1122,836,0,vlst=0
2604,837,0,vlst=0
2469,838,0,vlst=0
954,839,0,vlst=0
3640,840,0,vlst=0
364,841,0,vlst=0
2214,842,0,vlst=0
4941,843,0,vlst=0
5026,844,0,vlst=0
2286,845,0,vlst=0
1985,846,0,vlst=0
4067,847,0,vlst=0
2371,848,0,vlst=0
2618,849,0,vlst=0
4156,850,0,vlst=0
710,851,0,vlst=0
223,852,0,vlst=0
2161,853,0,vlst=0
2933,854,0,vlst=0
4000,855,0,vlst=0
1796,856,0,vlst=0
1060,857,0,vlst=0
4261,858,0,vlst=0
146,859,0,vlst=0
271,860,0,vlst=0
1704,861,0,vlst=0
1291,862,0,vlst=0
4502,863,0,vlst=0
3183,864,0,vlst=0
3415,865,0,vlst=0
3217,866,0,vlst=0
55,867,0,vlst=0
1296,868,0,vlst=0
2724,869,0,vlst=0
2735,870,0,vlst=0
1757,871,0,vlst=0
3448,872,0,vlst=0
933,873,0,vlst=0
3234,874,0,vlst=0
2941,875,0,vlst=0
5178,876,1,vlst=1
337,877,0,vlst=0
4928,878,0,vlst=0
991,879,0,vlst=0
401,880,0,vlst=0
1804,881,0,vlst=0
390,882,0,vlst=0
3335,883,0,vlst=0
2828,884,0,vlst=0
4389,885,0,vlst=0
1716,886,0,vlst=0
5144,887,1,vlst=1
1799,888,0,vlst=0
492,889,0,vlst=0
4181,890,0,vlst=0
1682,891,0,vlst=0
827,892,0,vlst=0
1214,893,0,vlst=0
4208,894,0,vlst=0
3029,895,0,vlst=0
412,896,0,vlst=0
2973,897,0,vlst=0
2635,898,0,vlst=0
2838,899,0,vlst=0
793,900,0,vlst=0
3368,901,0,vlst=0
2047,902,0,vlst=0
4289,903,0,vlst=0
1500,904,0,vlst=0
5117,905,1,vlst=1
5139,906,1,vlst=1
1544,907,0,vlst=0
4592,908,0,vlst=0
2913,909,0,vlst=0
2737,910,0,vlst=0
1218,911,0,vlst=0
1240,912,0,vlst=0
1679,913,0,vlst=0
849,914,0,vlst=0
2376,915,0,vlst=0
4682,916,0,vlst=0
5030,917,0,vlst=0
4760,918,0,vlst=0
1191,919,0,vlst=0
1160,920,0,vlst=0
4450,921,0,vlst=0
4145,922,0,vlst=0
1568,923,0,vlst=0
4331,924,0,vlst=0
4673,925,0,vlst=0
255,926,0,vlst=0
4451,927,0,vlst=0
2701,928,0,vlst=0
959,929,0,vlst=0
1365,930,0,vlst=0
3602,931,0,vlst=0
1301,932,0,vlst=0
4499,933,0,vlst=0
4435,934,0,vlst=0
1895,935,0,vlst=0
4556,936,0,vlst=0
1319,937,0,vlst=0
3,938,0,vlst=0
4568,939,0,vlst=0
2087,940,0,vlst=0
2261,941,0,vlst=0
4834,942,0,vlst=0
4528,943,0,vlst=0
1285,944,0,vlst=0
4,945,0,vlst=0
704,946,0,vlst=0
4886,947,0,vlst=0
3644,948,0,vlst=0
4697,949,0,vlst=0
5168,950,1,vlst=1
2040,951,0,vlst=0
3741,952,0,vlst=0
280,953,0,vlst=0
1917,954,0,vlst=0
3069,955,0,vlst=0
2786,956,0,vlst=0
775,957,0,vlst=0
2582,958,0,vlst=0
262,959,0,vlst=0
797,960,0,vlst=0
2626,961,0,vlst=0
2912,962,0,vlst=0
2084,963,0,vlst=0
814,964,0,vlst=0
2508,965,0,vlst=0
4514,966,0,vlst=0
335,967,0,vlst=0
1685,968,0,vlst=0
2967,969,0,vlst=0
934,970,0,vlst=0
2852,971,0,vlst=0
5110,972,1,vlst=1
2204,973,0,vlst=0
878,974,0,vlst=0
2082,975,0,vlst=0
956,976,0,vlst=0
130,977,0,vlst=0
3594,978,0,vlst=0
474,979,0,vlst=0
2116,980,0,vlst=0
1388,981,0,vlst=0
200,982,0,vlst=0
74,983,0,vlst=0
4188,984,0,vlst=0
3798,985,0,vlst=0
1324,986,0,vlst=0
988,987,0,vlst=0
3827,988,0,vlst=0
780,989,0,vlst=0
4955,990,0,vlst=0
1314,991,0,vlst=0
2412,992,0,vlst=0
510,993,0,vlst=0
3019,994,0,vlst=0
4750,995,0,vlst=0
4220,996,0,vlst=0
145,997,0,vlst=0
1648,998,0,vlst=0
1325,999,0,vlst=0
2035,1000,0,vlst=0
4974,1001,0,vlst=0
3287,1002,0,vlst=0
1548,1003,0,vlst=0
5014,1004,0,vlst=0
2956,1005,0,vlst=0
2866,1006,0,vlst=0
1540,1007,0,vlst=0
4142,1008,0,vlst=0
2903,1009,0,vlst=0
2983,1010,0,vlst=0
4377,1011,0,vlst=0
1353,1012,0,vlst=0
2938,1013,0,vlst=0
623,1014,0,vlst=0
1750,1015,0,vlst=0
587,1016,0,vlst=0
1120,1017,0,vlst=0
2255,1018,0,vlst=0
4757,1019,0,vlst=0
537,1020,0,vlst=0
4996,1021,0,vlst=0
2490,1022,0,vlst=0
2237,1023,0,vlst=0
1753,1024,0,vlst=0
4595,1025,0,vlst=0
2,1026,0,vlst=0
4205,1027,0,vlst=0
609,1028,0,vlst=0
1508,1029,0,vlst=0
4611,1030,0,vlst=0
1845,1031,0,vlst=0
481,1032,0,vlst=0
1254,1033,0,vlst=0
4136,1034,0,vlst=0
726,1035,0,vlst=0
5160,1036,1,vlst=1
5001,1037,0,vlst=0
4256,1038,0,vlst=0
1248,1039,0,vlst=0
3363,1040,0,vlst=0
4031,1041,0,vlst=0
5138,1042,1,vlst=1
3512,1043,0,vlst=0
717,1044,0,vlst=0
1865,1045,0,vlst=0
2466,1046,0,vlst=0
1118,1047,0,vlst=0
1920,1048,0,vlst=0
2811,1049,0,vlst=0
477,1050,0,vlst=0
1911,1051,0,vlst=0
914,1052,0,vlst=0
1806,1053,0,vlst=0
1529,1054,0,vlst=0
3255,1055,0,vlst=0
1828,1056,0,vlst=0
1279,1057,0,vlst=0
3743,1058,0,vlst=0
4631,1059,0,vlst=0
385,1060,0,vlst=0
4227,1061,0,vlst=0
2074,1062,0,vlst=0
4572,1063,0,vlst=0
646,1064,0,vlst=0
2296,1065,0,vlst=0
771,1066,0,vlst=0
3730,1067,0,vlst=0
2363,1068,0,vlst=0
2368,1069,0,vlst=0
603,1070,0,vlst=0
1596,1071,0,vlst=0
753,1072,0,vlst=0
64,1073,0,vlst=0
2054,1074,0,vlst=0
1708,1075,0,vlst=0
1724,1076,0,vlst=0
1219,1077,0,vlst=0
716,1078,0,vlst=0
2322,1079,0,vlst=0
899,1080,0,vlst=0
2410,1081,0,vlst=0
2537,1082,0,vlst=0
2105,1083,0,vlst=0
